graphe_run,metrique,modele_vue2,longueur_predit,true_hits,nombre_noeud_touve,f1_score,mean,Truehits,Noeud_predit
35,cosinus,1,10,20,4,0.26667,0.45353,"{1: {32, 320, 610, 100, 605, 645, 872, 137, 266, 108, 589, 975, 369, 18, 758, 375, 569, 285, 766, 31}}","{100, 424, 137, 170, 306, 343, 154, 187, 375, 31}"
36,cosinus,1,24,20,12,0.54545,0.45608,"{1: {444, 132, 229, 551, 937, 10, 652, 814, 47, 399, 434, 83, 147, 309, 372, 216, 122, 635, 252, 445}}","{1, 10, 147, 547, 937, 814, 434, 435, 309, 187, 444, 72, 340, 342, 216, 229, 357, 614, 747, 756, 759, 122, 635, 252}"
37,cosinus,1,35,20,18,0.65455,0.46144,"{1: {705, 646, 265, 649, 140, 300, 654, 664, 176, 824, 212, 53, 308, 215, 376, 122, 316, 541, 606, 31}}","{768, 646, 136, 265, 649, 140, 654, 273, 791, 664, 921, 666, 411, 541, 31, 810, 300, 176, 817, 308, 53, 55, 824, 316, 832, 330, 207, 212, 215, 606, 122, 231, 870, 243, 250}"
38,cosinus,1,28,20,9,0.37500,0.45917,"{1: {194, 99, 4, 868, 669, 615, 9, 172, 141, 685, 47, 335, 560, 114, 178, 211, 507, 25, 27, 61}}","{128, 257, 9, 13, 18, 25, 669, 35, 38, 43, 47, 432, 560, 194, 579, 580, 974, 335, 719, 82, 85, 218, 604, 99, 357, 615, 107, 766}"
39,cosinus,1,35,20,7,0.25455,0.45392,"{1: {448, 133, 39, 9, 10, 169, 447, 45, 109, 586, 910, 799, 629, 86, 600, 377, 26, 28, 733, 63}}","{1, 133, 262, 9, 265, 267, 400, 145, 531, 26, 28, 34, 548, 937, 433, 57, 60, 61, 63, 447, 67, 453, 979, 86, 471, 346, 220, 865, 742, 488, 617, 113, 241, 243, 382}"
40,cosinus,1,35,20,12,0.43636,0.45348,"{1: {288, 640, 67, 68, 764, 135, 9, 170, 683, 187, 237, 271, 17, 209, 821, 441, 27, 508, 29, 415}}","{258, 259, 5, 7, 9, 521, 268, 271, 147, 149, 537, 27, 29, 927, 32, 288, 674, 35, 164, 170, 683, 821, 187, 68, 209, 343, 103, 362, 237, 243, 634, 507, 122, 379, 382}"
41,cosinus,1,30,20,7,0.28000,0.44925,"{1: {388, 516, 134, 935, 72, 73, 202, 298, 331, 13, 360, 461, 746, 49, 177, 791, 150, 183, 664, 762}}","{256, 388, 137, 13, 159, 167, 40, 429, 557, 48, 821, 182, 576, 72, 331, 461, 845, 468, 343, 729, 90, 604, 93, 100, 101, 360, 233, 746, 749, 506}"
42,cosinus,1,22,20,13,0.61905,0.45329,"{1: {386, 227, 997, 7, 103, 73, 42, 409, 140, 745, 430, 18, 210, 308, 564, 311, 217, 27, 668, 255}}","{3, 7, 135, 18, 664, 409, 152, 27, 29, 430, 563, 308, 564, 692, 73, 464, 210, 217, 227, 103, 241, 255}"
43,cosinus,1,33,20,19,0.71698,0.45943,"{1: {33, 193, 257, 773, 6, 519, 488, 871, 74, 138, 330, 45, 46, 306, 243, 244, 466, 152, 185, 220}}","{0, 257, 773, 6, 519, 138, 396, 22, 152, 408, 33, 807, 45, 48, 306, 185, 193, 74, 330, 976, 81, 466, 474, 220, 994, 485, 871, 488, 105, 107, 243, 244, 250}"
44,cosinus,1,31,20,14,0.54902,0.46146,"{1: {1, 513, 195, 567, 775, 568, 586, 141, 718, 784, 241, 305, 888, 22, 87, 566, 313, 122, 380, 127}}","{513, 775, 8, 395, 141, 784, 785, 916, 22, 154, 797, 545, 42, 690, 54, 567, 568, 55, 313, 188, 702, 195, 87, 987, 234, 747, 110, 241, 888, 380, 127}"
45,cosinus,1,41,20,11,0.36066,0.45922,"{1: {98, 578, 36, 5, 198, 377, 238, 623, 432, 815, 115, 729, 181, 342, 629, 756, 25, 26, 155, 412}}","{899, 5, 7, 391, 266, 269, 14, 18, 276, 25, 415, 37, 301, 814, 432, 50, 187, 60, 191, 322, 578, 198, 585, 202, 843, 333, 350, 865, 98, 233, 234, 235, 238, 623, 750, 879, 500, 629, 756, 377, 636}"
46,cosinus,1,33,20,11,0.41509,0.45826,"{1: {610, 35, 165, 390, 583, 828, 778, 237, 685, 79, 823, 753, 878, 19, 20, 23, 56, 444, 381, 445}}","{256, 390, 774, 19, 20, 409, 156, 540, 37, 553, 45, 430, 444, 60, 445, 449, 199, 583, 971, 79, 464, 593, 212, 610, 741, 871, 237, 878, 372, 249, 635, 381, 254}"
47,cosinus,1,35,20,17,0.61818,0.46167,"{1: {34, 99, 899, 261, 236, 397, 367, 18, 211, 212, 339, 597, 819, 312, 121, 854, 283, 828, 285, 446}}","{899, 261, 401, 18, 283, 285, 799, 34, 40, 46, 174, 48, 819, 692, 693, 312, 828, 446, 588, 850, 339, 597, 470, 854, 346, 218, 993, 99, 234, 236, 493, 750, 367, 113, 121}"
48,cosinus,1,32,20,12,0.46154,0.46166,"{1: {451, 100, 5, 675, 103, 8, 297, 458, 709, 782, 82, 178, 438, 890, 312, 282, 349, 29, 446, 95}}","{2, 258, 5, 11, 396, 148, 921, 282, 794, 418, 675, 297, 178, 438, 951, 312, 442, 318, 320, 65, 714, 589, 82, 340, 91, 349, 351, 95, 225, 739, 100, 890}"
49,cosinus,1,34,20,19,0.70370,0.46660,"{1: {896, 227, 356, 933, 326, 135, 199, 457, 74, 75, 266, 523, 906, 689, 83, 87, 923, 220, 30, 604}}","{129, 257, 898, 135, 138, 266, 523, 650, 906, 923, 30, 35, 549, 933, 689, 692, 313, 64, 451, 326, 199, 457, 74, 75, 83, 84, 87, 220, 604, 223, 735, 227, 356, 113}"
50,cosinus,1,20,20,12,0.60000,0.46927,"{1: {0, 3, 453, 262, 599, 168, 267, 875, 569, 785, 18, 500, 22, 598, 152, 57, 506, 953, 157, 414}}","{0, 197, 262, 935, 168, 393, 585, 267, 875, 953, 142, 500, 22, 535, 598, 89, 506, 283, 157, 414}"
